RK,NAME,TEAM,SALARY         ,Team Rank
1,LeBron James,CLE,30963450,1
2,Al Horford,BOS,26540100,1
3,Kevin Durant,GSW,26540100,1
4,James Harden,HOU,26540100,1
5,Mike Conley,MEM,26540100,1
6,Russell Westbrook,OKC,26540100,1
7,DeMar DeRozan,TOR,26540100,1
8,Dirk Nowitzki,DAL,25000000,1
9,Carmelo Anthony,NYK,24559380,1
10,Damian Lillard,POR,24328425,1
11,Dwyane Wade,CHI,23200000,1
12,Dwight Howard,ATL,23180275,1
13,Chris Paul,LAC,22868827,1
14,Harrison Barnes,DAL,22116750,2
15,Andre Drummond,DET,22116750,1
16,Chandler Parsons,MEM,22116750,2
17,Hassan Whiteside,MIA,22116750,1
18,Anthony Davis,NOP,22116750,1
19,Bradley Beal,WAS,22116750,1
20,Derrick Rose,NYK,21323252,2
21,Brook Lopez,BRK,21165675,1
22,Kevin Love,CLE,21165675,2
23,DeAndre Jordan,LAC,21165675,2
24,Marc Gasol,MEM,21165675,3
25,Nicolas Batum,CHO,20869566,1
26,LaMarcus Aldridge,SAS,20575005,1
27,Blake Griffin,LAC,20140839,3
28,Paul Millsap,ATL,20072033,2
29,Ryan Anderson,HOU,18735364,2
30,Allen Crabbe,POR,18500000,2
31,Paul George,IND,18341532,1
32,Luol Deng,LAL,18000000,1
33,Kyrie Irving,CLE,17638063,3
34,Kawhi Leonard,SAS,17638063,2
35,Jimmy Butler,CHI,17552209,2
36,Tobias Harris,DET,17200000,2
37,Wesley Matthews,DAL,17145838,3
38,Greg Monroe,MIL,17145838,1
39,Enes Kanter,OKC,17145838,2
40,Joakim Noah,NYK,17000000,3
41,Bismack Biyombo,ORL,17000000,1
42,Evan Fournier,ORL,17000000,2
43,DeMarcus Cousins,SAC,16957900,1
44,John Wall,WAS,16957900,2
45,Klay Thompson,GSW,16663575,2
46,Evan Turner,POR,16393443,3
47,Gordon Hayward,UTA,16073140,1
48,Timofey Mozgov,LAL,16000000,2
49,Ian Mahinmi,WAS,15944154,3
50,Goran Dragic,MIA,15891725,2
51,Kent Bazemore,ATL,15730338,3
52,Pau Gasol,SAS,15500000,3
53,Tristan Thompson,CLE,15330435,4
54,Draymond Green,GSW,15330435,3
55,Khris Middleton,MIL,15200000,2
56,Danilo Gallinari,DEN,15050000,1
57,Jeff Green,ORL,15000000,3
58,Reggie Jackson,DET,14956522,3
59,Tony Parker,SAS,14445313,4
60,Jonas Valanciunas,TOR,14382023,2
61,DeMarre Carroll,TOR,14200000,3
62,Thaddeus Young,IND,14153652,2
63,Rajon Rondo,CHI,14000000,3
64,Eric Bledsoe,PHO,14000000,1
65,Manu Ginobili,SAS,14000000,5
66,Ricky Rubio,MIN,13550000,1
67,Rudy Gay,SAC,13333333,2
68,Jamal Crawford,LAC,13253012,4
69,Robin Lopez,CHI,13219250,4
70,Michael Kidd-Gilchrist,CHO,13000000,2
71,J.R. Smith,CLE,12800000,5
72,Brandon Knight,PHO,12606250,2
73,John Henson,MIL,12517606,3
74,Jordan Clarkson,LAL,12500000,3
75,Miles Plumlee,MIL,12500000,4
76,Arron Afflalo,SAC,12500000,3
77,Tyson Chandler,PHO,12415000,3
78,Eric Gordon,HOU,12385364,3
79,Marvin Williams,CHO,12250000,3
80,Serge Ibaka,ORL,12250000,4
81,Stephen Curry,GSW,12112359,4
82,Kenneth Faried,DEN,12078652,2
83,Amir Johnson,BOS,12000000,2
84,Kemba Walker,CHO,12000000,4
85,Kyle Lowry,TOR,12000000,4
86,Marcin Gortat,WAS,12000000,4
87,Nikola Vucevic,ORL,11750000,5
88,Jeremy Lin,BRK,11483254,2
89,Jrue Holiday,NOP,11286518,2
90,Courtney Lee,NYK,11242000,4
91,Solomon Hill,NOP,11241218,3
92,Wilson Chandler,DEN,11233146,3
93,Andre Iguodala,GSW,11131368,5
94,Derrick Favors,UTA,11050000,2
95,Austin Rivers,LAC,11000000,5
96,Joe Johnson,UTA,11000000,3
97,Jon Leuer,DET,10991957,4
98,Monta Ellis,IND,10763500,3
99,Mirza Teletovic,MIL,10500000,5
100,Jared Dudley,PHO,10470000,4
101,Zach Randolph,MEM,10361445,4
102,Al Jefferson,IND,10314532,4
103,Tyreke Evans,NOP,10203755,4
104,Alec Burks,UTA,10154495,4
105,Danny Green,SAS,10000000,6
106,Terrence Ross,TOR,10000000,5
107,Omer Asik,NOP,9904494,5
108,Iman Shumpert,CLE,9662922,6
109,Matthew Dellavedova,MIL,9607500,6
110,Jerryd Bayless,PHI,9424084,1
111,Trevor Booker,BRK,9250000,3
112,Meyers Leonard,POR,9213483,4
113,Gerald Henderson,PHI,9000000,2
114,Maurice Harkless,POR,8988765,5
115,Taj Gibson,CHI,8950000,5
116,Jeff Teague,IND,8800000,5
117,Tiago Splitter,PHI,8550000,3
118,Ersan Ilyasova,PHI,8400000,4
119,Dwight Powell,DAL,8375000,4
120,Avery Bradley,BOS,8269663,3
121,E'Twaun Moore,NOP,8081363,6
122,Darrell Arthur,DEN,8070175,4
123,Kosta Koufos,SAC,8046500,4
124,Tyler Zeller,BOS,8000000,4
125,Sergio Rodriguez,PHI,8000000,5
126,Anthony Tolliver,SAC,8000000,5
127,Garrett Temple,SAC,8000000,6
128,George Hill,UTA,8000000,5
129,Channing Frye,CLE,7806971,7
130,Trevor Ariza,HOU,7806971,4
131,Al-Farouq Aminu,POR,7680965,6
132,Cole Aldrich,MIN,7643979,2
133,Corey Brewer,HOU,7612172,5
134,Markieff Morris,WAS,7400000,5
135,J.J. Redick,LAC,7377500,6
136,Cory Joseph,TOR,7315000,6
137,D.J. Augustin,ORL,7250000,6
138,Boban Marjanovic,DET,7000000,5
139,Rodney Stuckey,IND,7000000,6
140,Lou Williams,LAL,7000000,4
141,Boris Diaw,UTA,7000000,6
142,Ed Davis,POR,6666667,7
143,Isaiah Thomas,BOS,6587132,5
144,Victor Oladipo,OKC,6552961,3
145,Jodie Meeks,ORL,6540000,7
146,Jeremy Lamb,CHO,6511628,5
147,Aron Baynes,DET,6500000,6
148,Spencer Hawes,CHO,6348759,6
149,Marco Belinelli,CHO,6333333,7
150,Jae Crowder,BOS,6286408,6
151,Tarik Black,LAL,6191000,5
152,Lance Thomas,NYK,6191000,5
153,Andrew Nicholson,WAS,6088993,6
163,Gary Neal,ATL,6070465.5,4
154,Patrick Patterson,TOR,6050000,7
155,Andrew Wiggins,MIN,6006600,3
156,Ramon Sessions,CHO,6000000,8
157,Ish Smith,DET,6000000,7
158,Patrick Beverley,HOU,6000000,6
159,Wayne Ellington,MIA,6000000,3
160,Alex Abrines,OKC,5994764,4
161,Karl-Anthony Towns,MIN,5960160,4
162,Otto Porter,WAS,5893981,7
164,Nikola Mirotic,CHI,5782450,6
165,Shaun Livingston,GSW,5782450,6
166,Josh McRoberts,MIA,5782450,4
167,Brandan Wright,MEM,5709880,5
168,Wesley Johnson,LAC,5628000,7
169,Tyler Johnson,MIA,5628000,5
170,Jared Sullinger,TOR,5628000,8
171,Tony Allen,MEM,5505618,6
172,Luis Scola,BRK,5500000,4
173,Nick Young,LAL,5443918,6
174,Jabari Parker,MIL,5374320,7
175,D'Angelo Russell,LAL,5332800,7
176,Cody Zeller,CHO,5318313,9
177,P.J. Tucker,PHO,5300000,5
178,Brandon Ingram,LAL,5281680,8
179,Kyle Korver,ATL,5239437,5
180,Darren Collison,SAC,5229454,7
181,Langston Galloway,NOP,5200000,7
182,Jonas Jerebko,BOS,5000000,7
183,Roy Hibbert,CHO,5000000,10
184,Brandon Jennings,NYK,5000000,6
185,C.J. Watson,ORL,5000000,8
186,Jason Smith,WAS,5000000,8
187,Mike Dunleavy,ATL,4837500,6
188,Kyle Singler,OKC,4837500,5
189,Joel Embiid,PHI,4826160,6
190,Alex Len,PHO,4823621,6
191,Jahlil Okafor,PHI,4788840,7
192,Jaylen Brown,BOS,4743000,8
193,Alexis Ajinca,NOP,4638203,8
194,Marcus Morris,DET,4625000,8
195,C.J. Miles,IND,4583450,7
196,Jameer Nelson,DEN,4540525,5
197,Nerlens Noel,PHI,4384490,8
198,Aaron Gordon,ORL,4351320,9
199,Greivis Vasquez,BRK,4347826,5
200,Kristaps Porzingis,NYK,4317720,7
201,Dragan Bender,PHO,4276320,7
202,Vince Carter,MEM,4264057,7
203,Devin Harris,DAL,4227996,5
204,J.J. Barea,DAL,4096950,6
205,Ben McLemore,SAC,4008882,8
206,Kris Humphries,ATL,4000000,7
207,Lavoy Allen,IND,4000000,8
208,James Johnson,MIA,4000000,6
209,Udonis Haslem,MIA,4000000,7
210,Jordan Hill,MIN,4000000,5
211,Lance Stephenson,NOP,4000000,9
212,Leandro Barbosa,PHO,4000000,8
213,Dante Exum,UTA,3940320,7
214,Kyle O'Quinn,NYK,3918750,8
215,Mario Hezonja,ORL,3909840,10
216,Kris Dunn,MIN,3872520,6
217,Thabo Sefolosha,ATL,3850000,8
218,Nemanja Bjelica,MIN,3800000,7
219,Nick Collison,OKC,3750000,6
220,Bojan Bogdanovic,BRK,3730653,6
221,Kentavious Caldwell-Pope,DET,3678319,9
222,Patty Mills,SAS,3578948,7
223,Marcus Smart,BOS,3578880,9
224,Willie Cauley-Stein,SAC,3551160,9
225,Will Barton,DEN,3533333,6
226,Paul Pierce,LAC,3527920,8
227,Buddy Hield,NOP,3517200,10
228,Mike Miller,DEN,3500000,7
229,Brandon Rush,MIN,3500000,8
230,Anthony Morrow,OKC,3488000,7
231,Trey Burke,WAS,3386598,9
232,Mike Scott,ATL,3333334,9
233,K.J. McDaniels,BRK,3333333,7
234,Troy Daniels,MEM,3332940,8
235,Julius Randle,LAL,3267120,9
